,gpwr,in-hand delta,game-weighted in-hand delta,distance-one delta,gihwr,gnswr,cs bias,cs var,cs mean,deck gihwr,deck gnswr,deck ihd form,deck ihd meas,deck ihdd
Case of the Ransacked Lab,0.3563218390804598,-0.009547645532072657,-0.04397722576241514,-0.17803694648166424,0.3467741935483871,0.36496350364963503,0.028666183694901044,18.267348067351882,18.489082969432314,0.38631162887455794,0.33072962897212854,0.02832239739435183,0.029989789794098165,-0.0016673923997463334
Case of the Shattered Pact,0.5270854104353606,0.0048827847503489785,-0.00800305598599571,-0.016390074808882216,0.5319681951857096,0.5233927970380343,0.014006189118467557,14.533360166721003,17.071950288891312,0.5391302167353454,0.5181460826338959,0.011923476086639717,0.012044806299984834,-0.00012133021334511697
Case of the Stashed Skeleton,0.5466166605039353,0.028395636593949614,0.024643099114948885,0.005378454834060631,0.5750122970978849,0.5252291454494954,0.005512105710006594,12.118748762192036,16.38515288724915,0.5504696994633389,0.5439477290152696,0.004076850836234637,0.0038530389594035874,0.00022381187683104958
Case of the Trampled Garden,0.5327200815005693,0.0005149958759966822,-0.002683702066131999,-0.013374745149241973,0.533235077376566,0.5324144198727658,0.0022361711760340726,10.777165192673827,16.009039256198346,0.5341674199828207,0.5317575539873429,0.0015053736690591273,0.0014473384822514257,5.803518680770159e-05
Case of the Uneaten Feast,0.47803946530872055,-0.04615092041707969,-0.05904688302128491,-0.06590900277578293,0.43188854489164086,0.5102702702702703,0.0017196186227282353,14.50522414445859,16.682777399591558,0.4806307850531368,0.47618006395714324,0.0014951619246726215,0.0025913197444162317,-0.0010961578197436102
Caught Red-Handed,0.5113947128532361,0.004069204672537019,0.0062308403520896505,-0.03594373838892273,0.5154639175257731,0.5091678420310296,-0.010152581471579948,10.739416106589033,15.71995043370508,0.5041236117817479,0.5161084329806549,-0.006935950430579369,-0.007271101071488206,0.0003351506409088375
Cease // Desist,0.5281438680776472,0.01685461170344127,0.004686760979647042,-0.014082532263980374,0.5449984797810885,0.5155223204169499,0.013062802080740687,14.867319092763976,17.162481942629153,0.5397315963668787,0.5194170337237227,0.011315895185160019,0.011587728289231491,-0.00027183310407147276
Cerebral Confiscation,0.4917180277349769,-0.010984945028210014,-0.028123024717550515,-0.046502577861330996,0.4807330827067669,0.4993472584856397,0.011052506150906489,14.862773608124737,16.919745222929937,0.500335467436915,0.485389542603743,0.009708828032511179,0.008617439701938123,0.0010913883305730555
Chalk Outline,0.5108897989575577,0.01542964067071051,-0.016008793519871223,-0.029567732288487192,0.5263194396282682,0.4984005836466693,0.022192404635392356,16.935001612645184,17.443306624975573,0.5337485952118438,0.49310613979683865,0.021545708985630487,0.022858796254286107,-0.0013130872686556196
Clandestine Meddler,0.5264505119453925,-0.003103514975155486,-0.006044968343430157,-0.014071505346605728,0.523346996970237,0.5285932138772398,0.0026972341059048146,12.553203406289509,16.40647961156705,0.5281076316904456,0.5253021355570804,0.002063753417395711,0.001657119745053115,0.0004066336723425961
Coerced to Kill,0.5495055792434002,0.03681829879142373,0.021682061280753784,0.007528143325431058,0.5863238780348239,0.5202138758476786,0.014155009682172816,16.42586928160379,17.596994042245893,0.5628782445030095,0.5389648786826525,0.013212957744999714,0.01337266525960934,-0.000159707514609626
Cold Case Cracker,0.5424891535789187,0.006215705222828549,-0.0015244250542106874,-0.0022204664545757424,0.5487048588017472,0.5375767534376892,0.005814298864371139,17.123588840381853,17.640823672648352,0.5477574255111428,0.5383344709751016,0.005643821682938668,0.005268271932224122,0.0003755497507145454
Combine Chrysalis,0.4963948973932335,-0.0038206399674909353,-0.0296533628511938,-0.04569816836723606,0.49257425742574257,0.49899598393574296,0.02222397953434303,15.964619366241637,17.353932584269664,0.5170628834355828,0.4805506564765824,0.020444782319284437,0.020667986042349318,-0.00022320372306488048
Commercial District,0.5395884950985673,0.004986398463553643,-0.0012000604696739137,-0.006131728075165377,0.544574893562121,0.5360147942672214,0.00824452122625273,14.31737308152645,16.734156880124086,0.5468223120286236,0.5343824679053741,0.0070538293097410585,0.007233816930056314,-0.00017998762031525527
Concealed Weapon,0.5244965967101531,-0.021371054081224528,-0.023268166972768567,-0.02249816371916591,0.5031255426289286,0.5392908481073311,-0.003668449681254142,12.828499562798442,16.26726760991937,0.5218882155469329,0.5262836404910541,-0.002892969259534429,-0.0026083811632202636,-0.0002845880963141655
